"# Reference points along X2 pathway, 
#
# distance is distance from golden gate in kilometers
# x and y are in meters UTM zone 10 (EPSG 26910)
# path is whether the X2 path is traced on the 'sac' or 'sjr' or 'bay'.",,,,
point,path,distance,x,y
473,bay,9460,551724.9864,4191806.972
474,bay,9480,551716.4718,4191825.069
475,bay,9500,551707.9711,4191843.173
476,bay,9520,551699.4852,4191861.283
477,bay,9540,551691.0821,4191879.432
478,bay,9560,551682.6791,4191897.582
479,bay,9580,551674.2444,4191915.716
480,bay,9600,551665.7985,4191933.845
481,bay,9620,551657.3527,4191951.974
482,bay,9640,551648.7263,4191970.018
483,bay,9660,551640.0869,4191988.056
484,bay,9680,551631.4331,4192006.087
485,bay,9700,551622.6076,4192024.034
486,bay,9720,551613.782,4192041.982
487,bay,9740,551604.9257,4192059.914
488,bay,9760,551595.9214,4192077.772
489,bay,9780,551586.9171,4192095.63
490,bay,9800,551577.8764,4192113.47
491,bay,9820,551568.701,4192131.241
492,bay,9840,551559.5256,4192149.012
493,bay,9860,551550.3182,4192166.767
494,bay,9880,551540.9793,4192184.453
495,bay,9900,551531.6404,4192202.138
496,bay,9920,551522.284,4192219.815
497,bay,9940,551512.7895,4192237.417
498,bay,9960,551503.295,4192255.02
499,bay,9980,551493.8005,4192272.623
500,bay,10000,551484.1644,4192290.148
501,bay,10020,551474.5223,4192307.671
502,bay,10040,551464.8802,4192325.193
503,bay,10060,551455.1376,4192342.659
504,bay,10080,551445.3571,4192360.105
505,bay,10100,551435.5766,4192377.55
506,bay,10120,551425.7378,4192394.962
507,bay,10140,551415.8281,4192412.335
508,bay,10160,551405.9185,4192429.707
509,bay,10180,551395.9995,4192447.074
510,bay,10200,551385.9693,4192464.377
511,bay,10220,551375.9391,4192481.68
512,bay,10240,551365.909,4192498.983
513,bay,10260,551355.8131,4192516.248
514,bay,10280,551345.6713,4192533.486
515,bay,10300,551335.5295,4192550.724
516,bay,10320,551325.3877,4192567.962
517,bay,10340,551315.1483,4192585.142
518,bay,10360,551304.9048,4192602.319
519,bay,10380,551294.6612,4192619.497
520,bay,10400,551284.4002,4192636.664
521,bay,10420,551274.0654,4192653.787
522,bay,10440,551263.7305,4192670.91
523,bay,10460,551253.3957,4192688.032
524,bay,10480,551243.0442,4192705.145
525,bay,10500,551232.6293,4192722.219
526,bay,10520,551222.2144,4192739.294
527,bay,10540,551211.7995,4192756.368
528,bay,10560,551201.3846,4192773.442
529,bay,10580,551190.9061,4192790.477
530,bay,10600,551180.4238,4192807.51
531,bay,10620,551169.9415,4192824.543
532,bay,10640,551159.4592,4192841.576
533,bay,10660,551148.9533,4192858.595
534,bay,10680,551138.3665,4192875.563
535,bay,10700,551127.7797,4192892.531
536,bay,10720,551117.0547,4192909.412
537,bay,10740,551106.3203,4192926.287
538,bay,10760,551095.5011,4192943.108
539,bay,10780,551084.6257,4192959.893
540,bay,10800,551073.7216,4192976.659
541,bay,10820,551062.7122,4192993.356
542,bay,10840,551051.7029,4193010.053
543,bay,10860,551040.5956,4193026.685
544,bay,10880,551029.4595,4193043.298
545,bay,10900,551018.2914,4193059.889
546,bay,10920,551007.036,4193076.421
547,bay,10940,550995.7806,4193092.954
548,bay,10960,550984.4483,4193109.433
549,bay,10980,550973.0813,4193125.889
550,bay,11000,550961.7116,4193142.343
551,bay,11020,550950.2411,4193158.727
552,bay,11040,550938.7706,4193175.11
553,bay,11060,550927.2775,4193191.478
554,bay,11080,550915.7198,4193207.8
555,bay,11100,550904.162,4193224.123
556,bay,11120,550892.5414,4193240.4
557,bay,11140,550880.9111,4193256.671
558,bay,11160,550869.2454,4193272.916
559,bay,11180,550857.5193,4193289.118
560,bay,11200,550845.7932,4193305.32
561,bay,11220,550834.067,4193321.522
562,bay,11240,550822.3409,4193337.724
563,bay,11260,550810.6148,4193353.925
564,bay,11280,550798.8025,4193370.064
565,bay,11300,550786.984,4193386.199
566,bay,11320,550775.1654,4193402.333
567,bay,11340,550763.3469,4193418.468
568,bay,11360,550751.5283,4193434.602
569,bay,11380,550739.6842,4193450.718
570,bay,11400,550727.8228,4193466.821
571,bay,11420,550715.9614,4193482.924
572,bay,11440,550704.1,4193499.027
573,bay,11460,550692.2387,4193515.13
574,bay,11480,550680.3773,4193531.233
