point,route,distance,x,y
3635,bay,72700,593763.1818,593763.1818
3636,bay,72720,593782.3467,593782.3467
3637,bay,72740,593801.5136,593801.5136
3638,bay,72760,593820.7048,593820.7048
3639,bay,72780,593839.896,593839.896
3640,bay,72800,593859.0944,593859.0944
3641,bay,72820,593878.3105,593878.3105
3642,bay,72840,593897.5267,593897.5267
3643,bay,72860,593916.7535,593916.7535
3644,bay,72880,593935.9934,593935.9934
3645,bay,72900,593955.2332,593955.2332
3646,bay,72920,593974.4855,593974.4855
3647,bay,72940,593993.7477,593993.7477
3648,bay,72960,594013.01,594013.01
3649,bay,72980,594032.2901,594032.2901
3650,bay,73000,594051.5822,594051.5822
3651,bay,73020,594070.8744,594070.8744
3652,bay,73040,594090.1666,594090.1666
3653,bay,73060,594109.4587,594109.4587
3654,bay,73080,594128.7763,594128.7763
3655,bay,73100,594148.1072,594148.1072
3656,bay,73120,594167.4381,594167.4381
3657,bay,73140,594186.769,594186.769
3658,bay,73160,594206.0998,594206.0998
3659,bay,73180,594225.4627,594225.4627
3660,bay,73200,594244.8326,594244.8326
3661,bay,73220,594264.2026,594264.2026
3662,bay,73240,594283.5726,594283.5726
3663,bay,73260,594302.9451,594302.9451
3664,bay,73280,594322.3544,594322.3544
3665,bay,73300,594341.7637,594341.7637
3666,bay,73320,594361.173,594361.173
3667,bay,73340,594380.5823,594380.5823
3668,bay,73360,594400.0069,594400.0069
3669,bay,73380,594419.4547,594419.4547
3670,bay,73400,594438.9026,594438.9026
3671,bay,73420,594458.3505,594458.3505
3672,bay,73440,594477.7983,594477.7983
3673,bay,73460,594497.268,594497.268
3674,bay,73480,594516.7527,594516.7527
3675,bay,73500,594536.2374,594536.2374
3676,bay,73520,594555.7221,594555.7221
3677,bay,73540,594575.2068,594575.2068
3678,bay,73560,594594.7195,594594.7195
3679,bay,73580,594614.2398,594614.2398
3680,bay,73600,594633.7601,594633.7601
3681,bay,73620,594653.2803,594653.2803
3682,bay,73640,594672.8006,594672.8006
3683,bay,73660,594692.3545,594692.3545
3684,bay,73680,594711.9091,594711.9091
3685,bay,73700,594731.4637,594731.4637
3686,bay,73720,594751.0183,594751.0183
3687,bay,73740,594770.6398,594770.6398
3688,bay,73760,594790.5798,594790.5798
3689,bay,73780,594810.5199,594810.5199
3690,bay,73800,594830.4659,594830.4659
3691,bay,73820,594850.4212,594850.4212
3692,bay,73840,594870.3765,594870.3765
3693,bay,73860,594890.3399,594890.3399
3694,bay,73880,594910.3082,594910.3082
3695,bay,73900,594930.2765,594930.2765
3696,bay,73920,594950.254,594950.254
3697,bay,73940,594970.2331,594970.2331
3698,bay,73960,594990.2129,594990.2129
3699,bay,73980,595010.2006,595010.2006
3700,bay,74000,595030.1883,595030.1883
3701,bay,74020,595050.178,595050.178
3702,bay,74040,595070.172,595070.172
3703,bay,74060,595090.1661,595090.1661
3704,bay,74080,595110.1623,595110.1623
3705,bay,74100,595130.1604,595130.1604
3706,bay,74120,595150.1585,595150.1585
3707,bay,74140,595170.158,595170.158
3708,bay,74160,595190.1579,595190.1579
3709,bay,74180,595210.1578,595210.1578
3710,bay,74200,595230.1567,595230.1567
3711,bay,74220,595250.1532,595250.1532
3712,bay,74240,595270.1463,595270.1463
3713,bay,74260,595290.1323,595290.1323
3714,bay,74280,595310.1156,595310.1156
3715,bay,74300,595330.0868,595330.0868
3716,bay,74320,595350.0562,595350.0562
3717,bay,74340,595370.0137,595370.0137
3718,bay,74360,595389.9686,595389.9686
3719,bay,74380,595409.9131,595409.9131
3720,bay,74400,595429.8567,595429.8567
3721,bay,74420,595449.7905,595449.7905
3722,bay,74440,595469.7243,595469.7243
3723,bay,74460,595489.6533,595489.6533
3724,bay,74480,595509.5816,595509.5816
3725,bay,74500,595529.51,595529.51
3726,bay,74520,595549.4383,595549.4383
3727,bay,74540,595569.3666,595569.3666
3728,bay,74560,595589.295,595589.295
3729,bay,74580,595609.2306,595609.2306
3730,bay,74600,595629.1691,595629.1691
3731,bay,74620,595649.116,595649.116
