"# Reference points along X2 pathway, 
#
# distance is distance from golden gate in kilometers
# x and y are in meters UTM zone 10 (EPSG 26910)
# path is whether the X2 path is traced on the 'sac' or 'sjr' or 'bay'.",,,,
point,path,distance,x,y
264,bay,5280,550509.8368,4188323.3529
265,bay,5300,550527.2538,4188333.1839
266,bay,5320,550544.6585,4188343.0365
267,bay,5340,550562.0071,4188352.9876
268,bay,5360,550579.3173,4188363.0050
269,bay,5380,550596.5762,4188373.1110
270,bay,5400,550613.7724,4188383.3227
271,bay,5420,550630.9180,4188393.6197
272,bay,5440,550647.9599,4188404.0869
273,bay,5460,550664.9565,4188414.6277
274,bay,5480,550681.8256,4188425.3716
275,bay,5500,550698.6020,4188436.2587
276,bay,5520,550715.2977,4188447.2702
277,bay,5540,550731.8283,4188458.5271
278,bay,5560,550748.2869,4188469.8892
279,bay,5580,550764.5539,4188481.5246
280,bay,5600,550780.6882,4188493.3417
281,bay,5620,550796.7091,4188505.3137
282,bay,5640,550812.4682,4188517.6282
283,bay,5660,550828.0896,4188530.1150
284,bay,5680,550843.5529,4188542.7991
285,bay,5700,550858.7145,4188555.8420
286,bay,5720,550873.6952,4188569.0902
287,bay,5740,550888.4909,4188582.5467
288,bay,5760,550902.9956,4188596.3162
289,bay,5780,550917.2916,4188610.3022
290,bay,5800,550931.3821,4188624.4953
291,bay,5820,550945.2026,4188638.9512
292,bay,5840,550958.9365,4188653.4894
293,bay,5860,550972.3694,4188668.3069
294,bay,5880,550985.6837,4188683.2296
295,bay,5900,550998.7918,4188698.3351
296,bay,5920,551011.7196,4188713.5939
297,bay,5940,551024.5164,4188728.9641
298,bay,5960,551037.0954,4188744.5121
299,bay,5980,551049.5964,4188760.1238
300,bay,6000,551061.8676,4188775.9162
301,bay,6020,551074.0905,4188791.7466
302,bay,6040,551086.1173,4188807.7261
303,bay,6060,551098.0771,4188823.7559
304,bay,6080,551109.8711,4188839.9084
305,bay,6100,551121.5981,4188856.1092
306,bay,6120,551133.2147,4188872.3896
307,bay,6140,551144.7505,4188888.7272
308,bay,6160,551156.2093,4188905.1192
309,bay,6180,551167.6042,4188921.5554
310,bay,6200,551178.9386,4188938.0336
311,bay,6220,551190.2045,4188954.5587
312,bay,6240,551201.4457,4188971.1006
313,bay,6260,551212.6210,4188987.6871
314,bay,6280,551223.7747,4189004.2881
315,bay,6300,551234.9285,4189020.8891
316,bay,6320,551246.0822,4189037.4901
317,bay,6340,551257.2360,4189054.0912
318,bay,6360,551268.3897,4189070.6922
319,bay,6380,551279.5435,4189087.2932
320,bay,6400,551290.7517,4189103.8575
321,bay,6420,551301.9615,4189120.4207
322,bay,6440,551313.2137,4189136.9550
323,bay,6460,551324.5433,4189153.4365
324,bay,6480,551335.8729,4189169.9180
325,bay,6500,551347.3215,4189186.3168
326,bay,6520,551358.8186,4189202.6820
327,bay,6540,551370.3677,4189219.0101
328,bay,6560,551382.0221,4189235.2636
329,bay,6580,551393.8017,4189251.4265
330,bay,6600,551405.6817,4189267.5157
331,bay,6620,551417.6699,4189283.5243
332,bay,6640,551429.7759,4189299.4440
333,bay,6660,551442.0087,4189315.2666
334,bay,6680,551454.3775,4189330.9831
335,bay,6700,551466.9075,4189346.5716
336,bay,6720,551479.5906,4189362.0356
337,bay,6740,551492.4561,4189377.3479
338,bay,6760,551505.6115,4189392.4119
339,bay,6780,551518.9994,4189407.2694
340,bay,6800,551532.6000,4189421.9326
341,bay,6820,551546.3938,4189436.4143
342,bay,6840,551560.4147,4189450.6759
343,bay,6860,551574.4982,4189464.8765
344,bay,6880,551588.7857,4189478.8711
345,bay,6900,551603.1192,4189492.8192
346,bay,6920,551617.6363,4189506.5761
347,bay,6940,551632.1640,4189520.3218
348,bay,6960,551646.8115,4189533.9397
349,bay,6980,551661.4778,4189547.5374
350,bay,7000,551676.1918,4189561.0835
351,bay,7020,551690.9229,4189574.6111
352,bay,7040,551705.6540,4189588.1386
353,bay,7060,551720.3851,4189601.6662
354,bay,7080,551735.1162,4189615.1937
355,bay,7100,551749.8473,4189628.7213
356,bay,7120,551764.4665,4189642.3697
357,bay,7140,551779.0525,4189656.0533
358,bay,7160,551793.5423,4189669.8390
359,bay,7180,551807.9120,4189683.7493
360,bay,7200,551822.2272,4189697.7163
361,bay,7220,551836.3302,4189711.8972
362,bay,7240,551850.3400,4189726.1694
363,bay,7260,551864.1553,4189740.6311
364,bay,7280,551877.7471,4189755.3016
365,bay,7300,551891.1842,4189770.1144
366,bay,7320,551904.3306,4189785.1859
367,bay,7340,551917.2074,4189800.4883
368,bay,7360,551929.7896,4189816.0337
369,bay,7380,551942.0490,4189831.8352
370,bay,7400,551953.9011,4189847.9443
371,bay,7420,551965.3683,4189864.3293
372,bay,7440,551976.4225,4189880.9956
373,bay,7460,551986.9729,4189897.9850
374,bay,7480,551997.0092,4189915.2831
375,bay,7500,552006.5352,4189932.8675
376,bay,7520,552015.3961,4189950.7961
377,bay,7540,552023.6790,4189968.9987
378,bay,7560,552031.3756,4189987.4579
379,bay,7580,552038.5677,4190006.1195
380,bay,7600,552045.3140,4190024.9466
381,bay,7620,552051.6295,4190043.9225
382,bay,7640,552057.5299,4190063.0314
383,bay,7660,552063.0308,4190082.2592
384,bay,7680,552068.1479,4190101.5926
385,bay,7700,552072.8968,4190121.0198
386,bay,7720,552077.2930,4190140.5299
387,bay,7740,552081.3518,4190160.1131
388,bay,7760,552085.0879,4190179.7605
389,bay,7780,552088.5161,4190199.4640
390,bay,7800,552091.6506,4190219.2166
391,bay,7820,552094.5050,4190239.0118
392,bay,7840,552097.0687,4190258.8468
393,bay,7860,552099.3654,4190278.7143
394,bay,7880,552101.4187,4190298.6083
395,bay,7900,552103.2392,4190318.5248
396,bay,7920,552104.8390,4190338.4603
397,bay,7940,552106.2295,4190358.4116
398,bay,7960,552107.4217,4190378.3759
399,bay,7980,552108.3881,4190398.3526
400,bay,8000,552109.1586,4190418.3375
401,bay,8020,552109.7602,4190438.3282
402,bay,8040,552110.2028,4190458.3230
403,bay,8060,552110.4938,4190478.3209
404,bay,8080,552110.5793,4190498.3207
405,bay,8100,552110.5322,4190518.3205
406,bay,8120,552110.3610,4190538.3195
407,bay,8140,552110.0578,4190558.3172
408,bay,8160,552109.5905,4190578.3117
409,bay,8180,552109.0246,4190598.3035
410,bay,8200,552108.3671,4190618.2927
411,bay,8220,552107.5519,4190638.2761
412,bay,8240,552106.6592,4190658.2560
413,bay,8260,552105.6929,4190678.2326
414,bay,8280,552104.5931,4190698.2024
415,bay,8300,552103.3946,4190718.1660
416,bay,8320,552102.0074,4190738.1178
417,bay,8340,552100.2181,4190758.0374
418,bay,8360,552098.1765,4190777.9319
419,bay,8380,552095.8907,4190797.8003
420,bay,8400,552093.2622,4190817.6268
421,bay,8420,552090.3465,4190837.4123
422,bay,8440,552087.2134,4190857.1646
423,bay,8460,552083.8085,4190876.8726
424,bay,8480,552080.0945,4190896.5243
425,bay,8500,552076.1907,4190916.1388
426,bay,8520,552072.0542,4190935.7063
427,bay,8540,552067.6203,4190955.2083
428,bay,8560,552063.0236,4190974.6722
429,bay,8580,552058.2032,4190994.0826
430,bay,8600,552053.1274,4191013.4273
431,bay,8620,552047.9154,4191032.7358
432,bay,8640,552042.4600,4191051.9773
433,bay,8660,552036.8197,4191071.1649
434,bay,8680,552031.0654,4191090.3193
435,bay,8700,552025.0279,4191109.3862
436,bay,8720,552018.8976,4191128.4230
437,bay,8740,552012.5837,4191147.4002
438,bay,8760,552006.1050,4191166.3214
439,bay,8780,551999.5303,4191185.2098
